[run number],max-accel,initial-tips,waiting-cost,traffic-flow-from-south,switch-probability,signal-NS?,speed-limit,traffic-flow-from-east,cool-down,traffic-flow-from-west,time-window,random-switch?,traffic-flow-from-north,max-brake,[step],average-speed,average-wait,average-drive,pass-car
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.916001731,4.962686567,4.388059701,134
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.702936104,5.656,4.496,125
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,2.950162853,4.088709677,4.411290323,124
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,2.857327896,5.4,4.269565217,115
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,2.836629896,5.602040816,4.285714286,98
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.883053974,6.595238095,4.246031746,126
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.780471638,4.89516129,4.5,124
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.935019442,4.305555556,4.333333333,108
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.595092018,6.47826087,4.547826087,115
1,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,2.920938946,4.524590164,4.401639344,122
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.807264607,5.236220472,4.464566929,127
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.801388584,4.752136752,4.478632479,117
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,3.028752075,3.949152542,4.296610169,118
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,2.817068188,4.674603175,4.341269841,126
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,3.005312727,4.436363636,4.318181818,110
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.528513925,6.6328125,4.5390625,128
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.936007154,4.957446809,4.14893617,94
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.794316523,5.587719298,4.324561404,114
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.731523215,5.622807018,4.421052632,114
2,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,2.678847227,6.042735043,4.358974359,117
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.911343445,7.475409836,4.245901639,122
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.556367911,5.433628319,4.610619469,113
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,3.021970076,4.257425743,4.267326733,101
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,3.017833802,4.452380952,4.238095238,126
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,2.685866259,5.915966387,4.453781513,119
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.996467123,4.5,4.283018868,106
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.90815019,4.136690647,4.503597122,139
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.905100856,4.448275862,4.379310345,116
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.760423145,5.269565217,4.382608696,115
3,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,2.948483439,4.550847458,4.237288136,118
4,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.894383561,5.884297521,4.26446281,121
